################################################
##                   SPRank                   ##
################################################
in_rec:          1AM0-A-41-AMP/amber/rec.amber.mol2
in_cpd:          1AM0-A-41-AMP/amber/lig_charged.amber.mol2
in_poses:        1AM0-A-41-AMP/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 1AM0-A-41-AMP/amber/rec.amber.mol2
--> heavy atom num: 344
Load compound: MOL from 1AM0-A-41-AMP/amber/lig_charged.amber.mol2
--> heavy atom num: 23
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
*                   REC INFO                   *
************************************************
name: default_name
file_path: 1AM0-A-41-AMP/amber/rec.amber.mol2
atoms num: 344
************************************************
*                   CPD INFO                   *
************************************************
name: MOL
file_path: 1AM0-A-41-AMP/amber/lig_charged.amber.mol2
atoms num: 23
************************************************
*                    Scoring                   *
************************************************
#Scoring ---------------------------------------
#pose pair sasa stack
rdock_00_1 -640.144 -2.615 -68.161
rdock_02_1 -496.932 -2.676 -45.636
rdock_02_2 -538.324 -2.315 -59.782
rdock_02_3 -563.941 -2.740 -65.943
rdock_02_4 -590.285 -2.685 -60.837
rdock_02_5 -583.411 -2.419 -60.841
rdock_02_6 -519.535 -2.717 -46.293
rdock_02_7 -553.005 -2.766 -52.880
rdock_02_8 -489.125 -2.661 -46.008
rdock_02_9 -578.807 -2.700 -55.341
rdock_02_10 -548.488 -2.701 -49.617
rdock_02_11 -528.300 -2.634 -48.430
rdock_02_12 -537.114 -2.711 -45.296
rdock_02_13 -531.807 -2.359 -66.481
rdock_02_14 -613.227 -2.473 -62.698
rdock_02_15 -530.723 -2.464 -48.414
rdock_02_16 -609.274 -2.905 -57.529
rdock_02_17 -546.161 -2.754 -48.289
rdock_02_18 -538.640 -2.851 -56.674
rdock_02_19 -558.065 -2.426 -63.849
rdock_02_20 -474.778 -2.895 -54.410
rdock_02_21 -559.742 -2.726 -61.559
rdock_02_22 -547.485 -2.553 -52.008
rdock_02_23 -565.407 -2.423 -54.529
rdock_02_24 -568.927 -2.516 -56.713
rdock_02_25 -573.346 -2.671 -64.063
rdock_02_27 -547.032 -2.548 -58.285
rdock_02_28 -553.957 -2.419 -56.515
rdock_02_29 -515.136 -2.554 -44.892
rdock_02_30 -558.767 -2.389 -56.241
rdock_02_31 -546.473 -2.405 -63.239
rdock_02_32 -539.713 -2.658 -48.427
rdock_02_33 -553.691 -2.416 -60.534
rdock_02_34 -565.838 -2.430 -62.901
rdock_02_35 -517.934 -2.472 -45.105
rdock_02_36 -497.796 -2.661 -47.384
rdock_02_37 -537.014 -2.458 -46.759
rdock_02_38 -525.787 -2.393 -48.414
rdock_02_40 -546.318 -2.710 -47.203
rdock_02_41 -560.087 -2.857 -56.712
rdock_02_42 -528.814 -2.667 -53.030
rdock_02_43 -566.262 -2.474 -63.718
rdock_02_45 -252.247 -2.093 0.209
rdock_02_46 -475.325 -2.669 -40.738
rdock_02_47 -522.767 -2.698 -49.790
rdock_02_48 -556.740 -2.670 -58.693
rdock_02_49 -574.197 -2.599 -66.564
rdock_02_50 -556.175 -2.391 -62.644
rdock_02_51 -535.914 -2.420 -63.924
rdock_02_52 -565.137 -2.753 -55.066
rdock_02_53 -569.833 -2.522 -63.486
rdock_02_54 -584.513 -2.421 -54.025
rdock_02_55 -616.087 -2.466 -63.237
rdock_02_56 -545.034 -2.706 -59.980
rdock_02_57 -565.540 -2.690 -66.228
rdock_02_58 -594.663 -2.421 -62.900
rdock_02_60 -581.740 -2.403 -68.665
rdock_02_63 -550.642 -2.778 -57.684
rdock_02_67 -554.794 -2.726 -47.381
rdock_02_68 -571.828 -2.442 -65.116
rdock_02_70 -548.110 -2.834 -62.554
rdock_02_72 -496.078 -2.421 -44.412
rdock_02_73 -544.075 -2.625 -57.516
rdock_02_74 -491.973 -2.625 -41.055
rdock_02_75 -528.396 -2.331 -60.269
rdock_02_76 -567.525 -2.685 -60.267
rdock_02_77 -535.283 -2.593 -65.438
rdock_02_78 -501.985 -2.603 -48.085
rdock_02_80 -509.834 -2.371 -43.630
rdock_02_82 -600.796 -2.544 -54.790
rdock_02_83 -445.080 -2.434 -39.653
rdock_02_85 -501.906 -2.694 -47.083
rdock_02_86 -588.073 -2.606 -60.340
rdock_02_87 -583.403 -2.763 -57.817
rdock_02_89 -601.897 -2.427 -62.899
rdock_02_93 -611.645 -2.518 -60.767
rdock_02_94 -572.099 -2.866 -59.817
rdock_02_95 -557.846 -2.736 -56.822
rdock_02_96 -572.667 -2.395 -59.205
rdock_02_97 -594.607 -2.460 -59.379
rdock_02_98 -503.654 -2.608 -48.417
rdock_02_100 -568.207 -2.655 -63.903
rdock_02_102 -569.514 -2.355 -64.135
rdock_02_103 -574.489 -2.678 -52.536
rdock_02_104 -548.998 -2.732 -60.232
rdock_02_105 -568.136 -2.629 -65.068
rdock_02_106 -548.281 -2.346 -61.527
rdock_02_107 -511.929 -2.579 -53.638
rdock_02_110 -418.878 -2.497 -33.583
rdock_02_111 -565.764 -2.351 -62.170
rdock_02_112 -586.087 -2.715 -58.948
rdock_02_114 -553.056 -2.549 -58.342
rdock_02_115 -586.730 -2.625 -67.922
rdock_02_118 -589.775 -2.469 -66.326
rdock_02_120 -546.942 -2.528 -58.339
rdock_02_121 -554.466 -2.540 -61.419
rdock_02_122 -513.946 -2.534 -44.714
rdock_02_123 -516.204 -2.435 -44.655
