################################################
##                   SPRank                   ##
################################################
in_rec:          3D2X-A-85-D2X/amber/rec.amber.mol2
in_cpd:          3D2X-A-85-D2X/amber/lig_charged.amber.mol2
in_poses:        3D2X-A-85-D2X/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 3D2X-A-85-D2X/amber/rec.amber.mol2
--> heavy atom num: 1652
Load compound: MOL from 3D2X-A-85-D2X/amber/lig_charged.amber.mol2
--> heavy atom num: 26
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
*                   REC INFO                   *
************************************************
name: default_name
file_path: 3D2X-A-85-D2X/amber/rec.amber.mol2
atoms num: 1652
************************************************
*                   CPD INFO                   *
************************************************
name: MOL
file_path: 3D2X-A-85-D2X/amber/lig_charged.amber.mol2
atoms num: 26
************************************************
*                    Scoring                   *
************************************************
#Scoring ---------------------------------------
#pose pair sasa stack
rdock_00_1 -612.182 -3.924 -36.088
rdock_02_1 -531.545 -4.166 -49.649
rdock_02_2 -512.405 -3.995 -36.444
rdock_02_3 -511.008 -4.004 -23.331
rdock_02_4 -538.482 -4.291 -38.965
rdock_02_5 -418.365 -4.383 -19.962
rdock_02_6 -603.006 -4.195 -42.596
rdock_02_7 -527.366 -4.122 -34.775
rdock_02_8 -589.575 -4.165 -33.628
rdock_02_9 -630.808 -3.994 -42.929
rdock_02_10 -391.494 -4.124 -21.601
rdock_02_11 -522.359 -4.148 -24.907
rdock_02_12 -560.912 -4.111 -35.793
rdock_02_13 -296.364 -4.159 3.744
rdock_02_14 -279.537 -3.877 -21.344
rdock_02_15 -505.697 -4.265 -22.892
rdock_02_16 -562.487 -4.142 -31.235
rdock_02_17 -517.401 -4.284 -33.034
rdock_02_18 -541.435 -3.985 -30.428
rdock_02_19 -480.132 -3.942 -25.626
rdock_02_20 -517.219 -3.779 -34.298
rdock_02_21 -251.961 -4.032 2.995
rdock_02_22 -299.886 -3.953 -9.646
rdock_02_23 -585.846 -4.338 -38.381
rdock_02_24 -573.079 -4.211 -33.647
rdock_02_25 -407.880 -4.349 -12.900
rdock_02_26 -514.238 -4.269 -26.410
rdock_02_27 -410.341 -3.975 -13.657
rdock_02_28 -542.033 -4.170 -39.575
rdock_02_29 -464.042 -4.077 -33.002
rdock_02_30 -565.100 -4.155 -40.274
rdock_02_31 -478.295 -3.989 -23.915
rdock_02_32 -504.846 -4.091 -26.452
rdock_02_33 -547.054 -4.066 -36.450
rdock_02_34 -559.896 -4.254 -29.015
rdock_02_35 -513.929 -4.132 -36.980
rdock_02_36 -499.234 -4.304 -32.393
rdock_02_37 -339.048 -4.023 -16.680
rdock_02_38 -564.751 -4.351 -34.252
rdock_02_39 -586.806 -4.175 -25.038
rdock_02_40 -515.175 -4.214 -27.902
rdock_02_41 -368.263 -3.984 -18.256
rdock_02_42 -614.812 -4.021 -41.460
rdock_02_43 -522.269 -4.376 -29.495
rdock_02_44 -516.724 -4.032 -39.158
rdock_02_45 -323.053 -3.995 -8.617
rdock_02_46 -551.364 -4.259 -36.103
rdock_02_47 -308.043 -4.019 -17.440
rdock_02_48 -404.813 -4.198 -4.537
rdock_02_49 -383.268 -3.856 -16.347
rdock_02_50 -538.998 -4.132 -31.439
rdock_02_51 -547.812 -3.985 -33.394
rdock_02_52 -434.504 -4.393 -20.055
rdock_02_53 -474.692 -4.227 -23.958
rdock_02_54 -486.090 -4.282 -26.077
rdock_02_55 -473.543 -4.009 -20.214
rdock_02_56 -543.954 -4.247 -31.785
rdock_02_57 -476.543 -4.036 -28.089
rdock_02_58 -284.106 -4.001 -2.682
rdock_02_59 -552.852 -4.140 -37.395
rdock_02_60 -361.531 -3.877 -5.980
rdock_02_61 -551.405 -3.885 -35.785
rdock_02_62 -485.613 -4.183 -25.326
rdock_02_63 -557.207 -3.755 -25.399
rdock_02_64 -513.300 -4.166 -38.564
rdock_02_65 -388.023 -4.120 -9.903
rdock_02_66 -320.503 -4.358 -31.411
rdock_02_67 -368.665 -4.012 -20.584
rdock_02_68 -563.454 -4.196 -34.603
rdock_02_69 -571.187 -4.168 -37.327
rdock_02_70 -580.436 -4.182 -40.073
rdock_02_71 -551.661 -4.152 -34.295
rdock_02_72 -523.243 -4.103 -34.202
rdock_02_73 -379.640 -4.245 -16.565
rdock_02_74 -470.113 -4.299 -35.847
rdock_02_75 -287.501 -4.119 -1.582
rdock_02_76 -546.299 -4.125 -37.928
rdock_02_77 -359.888 -4.000 -7.311
rdock_02_78 -533.151 -4.124 -36.411
rdock_02_79 -339.187 -4.187 -28.177
rdock_02_80 -405.232 -4.185 -15.057
rdock_02_81 -500.580 -4.193 -30.540
rdock_02_82 -512.334 -3.926 -28.971
rdock_02_83 -470.394 -4.207 -36.844
rdock_02_84 -563.206 -4.225 -36.359
rdock_02_85 -559.748 -3.958 -38.446
rdock_02_86 -538.854 -4.244 -30.537
rdock_02_87 -581.428 -4.133 -34.388
rdock_02_88 -494.801 -4.058 -36.210
rdock_02_89 -468.700 -4.216 -32.013
rdock_02_90 -516.335 -4.203 -44.318
rdock_02_91 -399.489 -4.126 -17.377
rdock_02_92 -387.406 -4.128 -5.254
rdock_02_93 -276.687 -4.133 -17.718
rdock_02_94 -587.883 -3.954 -34.142
rdock_02_95 -522.671 -4.077 -31.125
rdock_02_96 -514.293 -4.030 -29.718
rdock_02_97 -630.932 -3.927 -42.866
